ticket_id,created_date,channel,subject,body,priority_actual,category_actual,handle_time_minutes,resolved_first_contact,csat_score
TKT-1060,2026-02-06,email,My balance looks wrong,"Something seems off with my account balance. It's showing $950.31 but based on my transactions I should have more than that. The last transaction I see is from November 13, 2025 but I know I had a deposit processed on January 02, 2026. Can you audit my account?",Medium,Billing & Payments,15,True,4
TKT-1061,2025-11-18,phone,Need to update my email address,"Hi, I recently changed jobs and need to update the email address on my account from david.johnson3@outlook.com to john.garcia84@yahoo.com. I still have access to the old email so I can verify through that. Could you walk me through the process or make the change for me?",Critical,Account Access,27,False,3
TKT-1062,2026-01-01,email,Unable to update my payment method,I've been trying to update my bank account for direct deposit but keep getting an error when I try to save the new account. I've tried three times now and it just says 'Unable to verify account.' My routing number and account number are definitely correct. Please help — I need this updated before my next paycheck.,Low,Billing & Payments,9,True,5
TKT-1063,2026-04-05,chat,Payroll integration stopped syncing,Our payroll integration with Gusto stopped syncing employee data yesterday. We process payroll on Thursdays and none of our employees are showing updated hours. I checked the integration settings and everything looks correct on our end. This is urgent — payroll runs in 2 days.,Medium,Technical Issue,19,True,4
TKT-1064,2025-12-21,email,Data privacy request — please delete my data,I am submitting a formal request under the California Consumer Privacy Act (CCPA) to delete all personal data you hold about me. My account email is david.miller92@outlook.com. Please confirm receipt of this request and provide a timeline for deletion. I expect written confirmation once deletion is complete.,Medium,Compliance & Legal,19,False,4
TKT-1065,2025-11-11,email,My balance looks wrong,"Something seems off with my account balance. It's showing $1384.31 but based on my transactions I should have more than that. The last transaction I see is from December 01, 2025 but I know I had a deposit processed on March 21, 2026. Can you audit my account?",High,Billing & Payments,28,False,4
TKT-1066,2026-02-19,web,Getting an error code when trying to transfer funds,"Every time I try to transfer money I get error code ERR-9031. This started happening about 1 days ago. I need to move funds for an urgent payment. I've tried different amounts ($50, $100, $500) and get the same error. My bank account is verified and in good standing.",Medium,Technical Issue,18,False,4
TKT-1067,2026-03-14,web,Is there a fee to use the service?,I was referred by a coworker but I want to make sure I understand the costs before I sign up. Is there a monthly fee? What does it cost to access my pay early? Are there any other hidden charges I should know about?,Low,Product Question,6,True,4
TKT-1068,2026-01-02,phone,Want to remove my employer from the platform,Our company has decided to discontinue using your earned wage access program. We have 87 employees enrolled. Can you tell us the process for offboarding our company from the platform? We want to make sure employees are notified properly.,Medium,Cancellation Request,9,True,4
TKT-1069,2026-01-30,phone,Forgot username / can't find my login,I think I signed up with either chris.garcia64@gmail.com or jessica.williams28@outlook.com but neither is working. I do have an account because I've used the service before — I can see charges on my bank statement. Can you look up what email is on file for me? I can verify with my last 4 of SSN or bank account.,High,Account Access,25,True,2
TKT-1070,2025-12-19,email,How do I request a pay advance?,"I just signed up and I'm trying to figure out how to request an advance on my upcoming paycheck. I see the option in the app but when I tap it, it says I'm not eligible. I've been at my job for 18 months and my employer is enrolled. What are the eligibility requirements?",Low,Product Question,9,True,4
TKT-1071,2026-02-23,phone,How do I stop automatic deductions?,"I took an advance last month and it was automatically deducted from my paycheck, which I understood. But now it's happening again this pay period even though I didn't take another advance. I want to stop any automatic deductions and ideally cancel the service. Please help.",High,Cancellation Request,17,True,3
TKT-1072,2026-02-03,chat,Can I use this if I'm paid biweekly?,My employer pays me every two weeks. Can I still use the early access feature between pay periods? Does the amount I can advance reset after each paycheck? I'm trying to understand how it works with a biweekly pay schedule.,Low,Product Question,8,True,4
TKT-1073,2026-01-04,email,Two-factor authentication not working,I enabled two-factor authentication last week and now I can't get in. I'm not receiving the SMS codes to my phone number ending in 6023. I've waited several minutes and tried multiple times. Is there an alternative way to verify my identity so I can get back in?,High,Account Access,21,True,2
TKT-1074,2025-12-26,phone,Do you have a referral program?,A friend told me I can earn rewards for referring new users. How does the referral program work? Is there a limit to how many people I can refer? When do I receive my reward — right when they sign up or after they use the service?,Medium,General Inquiry,12,False,3
TKT-1075,2025-12-20,email,How does the tipping model work?,I noticed the app asks for an optional tip when I transfer money. Can you explain how this works? Is the tip really optional or does it affect my service? What percentage do most people tip? I just want to make sure I'm using this correctly.,Critical,Product Question,48,True,4
TKT-1076,2026-03-22,email,How do I request a pay advance?,"I just signed up and I'm trying to figure out how to request an advance on my upcoming paycheck. I see the option in the app but when I tap it, it says I'm not eligible. I've been at my job for 3 months and my employer is enrolled. What are the eligibility requirements?",Low,Product Question,5,True,4
TKT-1077,2025-11-17,chat,Need an invoice for last month,"Hello, could you please send me an invoice for April? Our accounting team needs it for expense reconciliation. Account email is ashley.davis24@hotmail.com. Please send to john.jones15@outlook.com as well. We need it in PDF format if possible. Thank you.",Low,Billing & Payments,4,True,5
TKT-1078,2026-02-24,web,Need an invoice for last month,"Hello, could you please send me an invoice for January? Our accounting team needs it for expense reconciliation. Account email is emily.johnson98@icloud.com. Please send to chris.brown49@icloud.com as well. We need it in PDF format if possible. Thank you.",High,Billing & Payments,24,False,3
TKT-1079,2026-03-22,email,Forgot username / can't find my login,I think I signed up with either sarah.brown34@yahoo.com or sarah.williams23@yahoo.com but neither is working. I do have an account because I've used the service before — I can see charges on my bank statement. Can you look up what email is on file for me? I can verify with my last 4 of SSN or bank account.,High,Account Access,15,True,2
TKT-1080,2026-04-29,web,Payroll integration stopped syncing,Our payroll integration with Paychex stopped syncing employee data yesterday. We process payroll on Thursdays and none of our employees are showing updated hours. I checked the integration settings and everything looks correct on our end. This is urgent — payroll runs in 2 days.,Low,Technical Issue,4,True,5
TKT-1081,2025-12-28,chat,Incorrect fee charged — requesting refund,"I was charged a $9.99 fee that I don't believe I should have been charged. When I signed up, I was told the first 5 months were fee-free. I'm only on month 3. Can you review and refund this fee?",High,Refund Request,23,False,4
TKT-1082,2025-12-02,chat,Question about the $14.99 fee on my statement,I see a $4.99 fee on my recent statement and I'm not sure what it's for. I don't recall seeing this fee before. Is this a new charge? Can you explain what this covers and whether I can avoid it? I've been a customer for 16 months.,High,Billing & Payments,24,False,3
TKT-1083,2026-01-22,chat,App keeps crashing when I open it,The mobile app crashes every time I try to open it. This started after the update that pushed yesterday. I'm on iPhone 13 running iOS 17.4. I've already tried uninstalling and reinstalling but same issue. Is there a known issue with this version?,Medium,Technical Issue,8,True,3
TKT-1084,2026-04-22,phone,How does the tipping model work?,I noticed the app asks for an optional tip when I transfer money. Can you explain how this works? Is the tip really optional or does it affect my service? What percentage do most people tip? I just want to make sure I'm using this correctly.,Low,Product Question,8,True,5
TKT-1085,2026-03-30,chat,Payroll integration stopped syncing,Our payroll integration with Gusto stopped syncing employee data yesterday. We process payroll on Thursdays and none of our employees are showing updated hours. I checked the integration settings and everything looks correct on our end. This is urgent — payroll runs in 2 days.,High,Technical Issue,30,False,3
TKT-1086,2025-12-12,email,SSO login broken since company update,"Since our company updated their SSO provider last week, I can no longer log in through the company portal. It redirects me to a blank screen. My colleagues are having the same issue. Our company admin is Acme Corp. Can you check if something on your end needs to be updated?",Medium,Account Access,19,True,4
TKT-1087,2025-11-30,web,Requesting partial refund,"I was charged $15.0 for a service I only partially used. I signed up on January 20, 2026 and canceled on January 04, 2026, which means I used the service for only 3 days of the billing period. I'm requesting a pro-rated refund for the unused portion. Please let me know how to proceed.",High,Refund Request,27,False,4
TKT-1088,2026-03-13,chat,Does this work with my bank?,I have an account with Chase. Is your service compatible with all banks or just certain ones? I tried adding my account and got an error saying the bank wasn't supported. I also have a US Bank account if that one works better.,Medium,Product Question,20,True,4
TKT-1089,2025-11-08,web,Please close my account,I would like to permanently close my account and have all my personal data deleted. I no longer need this service. My account email is david.davis16@outlook.com. Please confirm once the account is closed and my data has been removed.,Medium,Cancellation Request,17,False,4
TKT-1090,2026-01-14,chat,Need to update my email address,"Hi, I recently changed jobs and need to update the email address on my account from sarah.brown60@gmail.com to sarah.williams92@outlook.com. I still have access to the old email so I can verify through that. Could you walk me through the process or make the change for me?",Low,Account Access,6,True,4
TKT-1091,2026-02-15,email,Request for data export (GDPR),I am exercising my right under GDPR Article 20 to data portability. Please provide a full export of all personal data you hold associated with my account. My account ID is ACC-60277. Please send the export to emily.williams36@gmail.com within the legally required 30-day window.,Medium,Compliance & Legal,20,True,5
TKT-1092,2026-03-20,chat,Forgot username / can't find my login,I think I signed up with either ashley.williams69@outlook.com or ashley.garcia71@hotmail.com but neither is working. I do have an account because I've used the service before — I can see charges on my bank statement. Can you look up what email is on file for me? I can verify with my last 4 of SSN or bank account.,Medium,Account Access,13,False,4
TKT-1093,2026-02-14,email,How does the tipping model work?,I noticed the app asks for an optional tip when I transfer money. Can you explain how this works? Is the tip really optional or does it affect my service? What percentage do most people tip? I just want to make sure I'm using this correctly.,Low,Product Question,9,True,4
TKT-1094,2026-03-07,web,Suspicious login attempt on my account,I received an email saying there was a login attempt from an unrecognized device in California. I did not attempt to log in at that time. I've already changed my password but I'm concerned my account may be compromised. Can you review recent activity and confirm my account is secure?,High,Account Access,19,True,2
TKT-1095,2025-11-26,chat,Suspicious login attempt on my account,I received an email saying there was a login attempt from an unrecognized device in Chicago. I did not attempt to log in at that time. I've already changed my password but I'm concerned my account may be compromised. Can you review recent activity and confirm my account is secure?,Medium,Account Access,15,True,4
TKT-1096,2026-03-01,phone,Transaction history not loading,"When I tap on 'Transaction History' in the app, it just shows a spinning loader and never loads. I've waited up to 5 minutes. This has been happening for 2 days. Everything else in the app works fine. I'm on Android 12.",High,Technical Issue,23,True,3
TKT-1097,2026-04-22,web,How does the tipping model work?,I noticed the app asks for an optional tip when I transfer money. Can you explain how this works? Is the tip really optional or does it affect my service? What percentage do most people tip? I just want to make sure I'm using this correctly.,Medium,Product Question,14,False,4
TKT-1098,2025-12-29,phone,Charged twice for the same transaction,"I was charged $29.99 twice on April 11, 2026. I only authorized one payment. My bank statement clearly shows two identical charges. I need one of these refunded immediately. Transaction IDs (if helpful): TXN817644 and TXN401338. Please process the refund ASAP.",Low,Refund Request,7,False,5
TKT-1099,2025-11-15,email,App keeps crashing when I open it,The mobile app crashes every time I try to open it. This started after the update that pushed yesterday. I'm on iPhone 13 running iOS 17.2. I've already tried uninstalling and reinstalling but same issue. Is there a known issue with this version?,High,Technical Issue,26,True,4
TKT-1100,2025-12-15,email,Transaction history not loading,"When I tap on 'Transaction History' in the app, it just shows a spinning loader and never loads. I've waited up to 5 minutes. This has been happening for 2 days. Everything else in the app works fine. I'm on Android 12.",Medium,Technical Issue,14,True,4
TKT-1101,2026-04-13,email,Transaction history not loading,"When I tap on 'Transaction History' in the app, it just shows a spinning loader and never loads. I've waited up to 5 minutes. This has been happening for 2 days. Everything else in the app works fine. I'm on Android 13.",Medium,Technical Issue,12,True,4
TKT-1102,2025-11-19,chat,Do you have a referral program?,A friend told me I can earn rewards for referring new users. How does the referral program work? Is there a limit to how many people I can refer? When do I receive my reward — right when they sign up or after they use the service?,Medium,General Inquiry,13,False,4
TKT-1103,2026-02-25,phone,How long does a transfer take?,"If I request a transfer today, when will the money actually show up in my bank account? I've seen different timelines mentioned — 1 business day vs instant. Is there an option for instant transfer? Is there a fee for faster delivery?",Low,Product Question,5,False,4
TKT-1104,2026-04-25,phone,Need an invoice for last month,"Hello, could you please send me an invoice for October? Our accounting team needs it for expense reconciliation. Account email is david.jones85@gmail.com. Please send to chris.jones73@gmail.com as well. We need it in PDF format if possible. Thank you.",Medium,Billing & Payments,8,False,4
TKT-1105,2026-04-12,email,Incorrect fee charged — requesting refund,"I was charged a $14.99 fee that I don't believe I should have been charged. When I signed up, I was told the first 13 months were fee-free. I'm only on month 1. Can you review and refund this fee?",Critical,Refund Request,41,False,3
TKT-1106,2025-11-11,email,Is there a fee to use the service?,I was referred by a coworker but I want to make sure I understand the costs before I sign up. Is there a monthly fee? What does it cost to access my pay early? Are there any other hidden charges I should know about?,High,Product Question,29,True,3
TKT-1107,2026-02-15,email,Want to remove my employer from the platform,Our company has decided to discontinue using your earned wage access program. We have 88 employees enrolled. Can you tell us the process for offboarding our company from the platform? We want to make sure employees are notified properly.,Low,Cancellation Request,5,True,5
TKT-1108,2026-03-04,web,Transaction history not loading,"When I tap on 'Transaction History' in the app, it just shows a spinning loader and never loads. I've waited up to 5 minutes. This has been happening for 2 days. Everything else in the app works fine. I'm on Android 13.",Critical,Technical Issue,43,False,3
TKT-1109,2026-04-22,web,Charged twice for the same transaction,"I was charged $24.99 twice on December 28, 2025. I only authorized one payment. My bank statement clearly shows two identical charges. I need one of these refunded immediately. Transaction IDs (if helpful): TXN809176 and TXN859396. Please process the refund ASAP.",Medium,Refund Request,20,True,5
TKT-1110,2026-02-03,phone,Wrong amount deducted from my paycheck,My advance deduction was for $15.0 but I only took an advance of $125.0. The math doesn't add up — it seems like I was charged a fee I wasn't told about. Can you provide a breakdown of the deduction and refund the difference?,Low,Refund Request,9,True,4
TKT-1111,2026-04-08,web,Charged twice for the same transaction,"I was charged $500.0 twice on December 30, 2025. I only authorized one payment. My bank statement clearly shows two identical charges. I need one of these refunded immediately. Transaction IDs (if helpful): TXN594379 and TXN126240. Please process the refund ASAP.",Critical,Refund Request,60,True,1
